ISLAND CITY MALL,,,,,
POS UNPOSTED SALES,,,,,
"AS OF JUNE 21, 2022",,,,,
Item No.,Variant Code,Description,Quantity,Unit Cost,Amount
100500,,DLE PA ORGE 1.36LT,5,33.86613,169.33
100508,,DLE 4SSONS JCE 1.36L,9,44.55481,400.99
100509,,TE KAONG WHT 8oz,3,24.9721,74.92
100511,,TE KAONG GRN 12oz,8,34.13281,273.06
100512,,TE KAONG RED 12oz,6,34.13281,204.8
100513,,TE KAONG RED 24oz,1,61.01339,61.01
100514,,TE KAONG RED 32oz,2,68.15583,136.31
100515,,TE NDC GRN 12oz,10,26.68601,266.86
100517,,TE NDC RED 24oz,1,45.9987,46
100518,,TE NDC RED 12oz,10,26.68601,266.86
100521,,RAM PKL CHIPS 135G,12,27.69376,332.33
100529,,SEV RAISINS 200G,68,31.66487,"2,153.21"
100532,,PAPA CATSUP 320G,55,11.08134,609.47
100533,,PAPA CATSUP REG HG,100,53.70958,"5,370.96"
100534,,PAPA CATSUP REG 1G,33,103.37205,"3,411.28"
100535,,MB B KETCHUP 340G,4,9.39131,37.57
100539,,DPUTI SOY SCE 385ML,78,9.08028,708.26
100553,,PRIDE DP PW 1000G,32,53.96971,"1,727.03"
100554,,PRIDE DP PW 2000G,21,120,"2,520.00"
100555,,PRIDE DP PW 500G,82,31.07143,"2,547.86"
100556,,SMART DWP LEM 400G,303,26.60714,"8,061.96"
100557,,PRIDE BAR KAL 380G,211,12.74631,"2,689.47"
100558,,P BAR WHT 1/4C 100G,531,3.14493,"1,669.96"
100560,,UNIQ TP MAX 100ML,8,29.6875,237.5
100564,,UNIQ TP ADV OC 150ML,41,31.51278,"1,292.02"
100577,,S 7 ANTI AMAG 1KL,2,186.08165,372.16
100580,,ZOY INSTANT STARCH,40,1.10728,44.29
100585,,AJI RED PCK 100G,"1,096",11.73918,"12,866.14"
100588,,AJI RED 50G,"1,069",7.60878,"8,133.79"
100592,,AJI ORANGE 500G,112,45.51804,"5,098.02"
100596,,AJI SHIO GRLC 18G,289,3.59478,"1,038.89"
100603,,ROGERS MAYO 225ML,16,27.74507,443.92
100604,,ROG SALAD D 225ML,24,22.81512,547.56
100606,,RC CRNSTRCH 200G,26,9.74,253.24
100617,,BAMBI C OIL PR 1/2GAL,1,101.49669,101.5
100618,,BAMBI C OIL PRM 1GL,4,191.77393,767.1
100619,,BAMBI CK OIL 350ML,2,21.29137,42.58
100620,,555 CRND SARD 100G,26,10.98214,285.54
100648,,ALASKA CHOCO 180ML,208,11.40937,"2,373.15"
100649,,AL SWTND CDM 168ML,67,22.75616,"1,524.66"
100650,,AL SWTND CDM 300ML,35,34.99614,"1,224.86"
100651,,ALAS CONDNSDA 300ML,344,27.43761,"9,438.54"
100652,,ALAS EVPRTD 370ML,172,24.72686,"4,253.02"
100657,,AL LOW FAT 1L,8,45.75,366
100660,,LIGO PS WCHILI 155G,13,8.93037,116.09
100673,,LIGO SQUID NI 425G,5,36.6696,183.35
100678,,LIGO CNORTE 210G,5,18.53175,92.66
100707,,GOLDEN Q OATS 200G,14,16.07735,225.08
100708,,G OATS QUICK 400G,18,35.85528,645.4
100709,,GOL OATS QCK 800G,6,64.64063,387.84
100711,,GLDN OATS INST 400G,22,37.73831,830.24
100712,,G OATS INST 800G,13,69.72693,906.45
100713,,G OATS P CHOCO 200G,11,19.9755,219.73
