PLAZA MARCELA -SM,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 5, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
100715,,GOLDEN OATS PLUS VIT E OMEGA 3 N 6 24/400G,PACK,17,56.32143,957.46431
100723,,SIMPLY SOYA OIL 12/1L,BOT,65,96.32515,"6,261.13"
100724,,RED STAR YEAST 12/800G,PACK,27,130.95238,"3,535.71"
100726,,BESUTO PRAWN CRACKER NO 3000 100/100G,PACK,1,16.16077,16.16077
100727,,BESUTO PRAWN CRACKER No 3000 60/250G,PACK,-1,31.97172,-31.97172
100729,,BESUTO PRAWN CRACKER No 4000  100/100G,PACK,-1,14.3058,-14.3058
100731,,BESUTO PRAWN CRACKER HOT SPICY 100/100G,PACK,1,14.3058,14.3058
100732,,BESUTO PRAWN CRACKER HOT SPICY 60/250G,PACK,-11,31.97167,-351.68837
100736,,BESUTO PRAWN CRACKER ONION GARLIC 60/250G,PACK,80,31.97173,"2,557.74"
100739,,BESUTO PRAWN CRACKER GARLIC SOY 60/250G,PACK,1,31.97167,31.97167
100741,,BESUTO PRAWN CRACKER CRAB 100/100G,PACK,2,14.3058,28.6116
100742,,BESUTO PRAWN CRACKER CRAB 60/250G,PACK,-19,31.97167,-607.46173
100744,,BESUTO ROASTED MEAT BBQ 100/100G,PACK,-1,14.30578,-14.30578
100745,,BESUTO ROASTED MEAT BBQ 60/250G,PACK,-1,31.97167,-31.97167
100747,,BESUTO PRAWN CRACKER FISH CURRY 100/100G,PACK,1,14.3058,14.3058
100749,,BESUTO PRAWN CRACKER PORK 100/100G,PACK,-41,14.3058,-586.5378
100754,,BESUTO PRAWN CRACKER BACON 60/250G,PACK,-3,31.97175,-95.91525
100756,,BESUTO PRAWN CRACKER SQUID 100/100G,PACK,-1,14.3058,-14.3058
100758,,LION TIGER REGULAR MINI 60BOX,BOX,54,12.64881,683.03574
100759,,LION TIGER JUNIOR SIZE 72BOX,BOX,16,11.85392,189.66272
100760,,LION TIGER REGULAR BOX,BOX,145,13.08532,"1,897.37"
100767,,MINOLA PREM COCONUT OIL TP 6x2/925ML Sv25,PACK,21,194.66667,"4,088.00"
100773,,BNY BS WOMEN CASUAL SATURDAY 48x30ML,PCS,7,42.70615,298.94305
100774,,BNY BS WOMEN LAZY SUNDAY 48x30ML,PCS,1,42.70536,42.70536
100775,,HAMMERHEAD BSW LV POTN TEMPTATION 64x30ML,PCS,1,262.72,262.72
100776,,HAMMERHEAD BSW LV POTN OBSESSION 64x30ML,PCS,5,57.74167,288.70835
100778,,HAMMERHEAD BSW LV POTN DESIRE 64x30ML,PCS,8,508.116,"4,064.93"
100779,,HAMMERHEAD BSW LV POTN FANCY 64x30ML,PCS,2,293.055,586.11
100785,,BEAUTY LABO B8 PURE BEIGE 24s,PCS,3,90.00909,270.02727
100786,,BEAUTY LABO HY9 HONEY BLONDE 24s,PCS,5,192.05357,960.26785
100791,,BEAUTY LABO N9 NATURAL BLONDE 24s,PCS,5,192.05357,960.26785
100792,,ENFAMAMA Aplus CHOCO BIB 350G,BOX,45,292.25,"13,151.25"
100793,,BEAUTY LABO 08 CANDY APRICOT 24s,PCS,5,91.92,459.6
100794,,BEAUTY LABO R7 RASPBERRY PINK 24s,PCS,16,192.05357,"3,072.86"
100801,,ENFAGROW A+ KID/FOUR 350G,BOX,23,273.93667,"6,300.54"
100802,,CB 203 PE ROUND CUTTING BOARD SMALL,PCS,5,116.446,582.23
100803,,1002 HEART MOULDER,PCS,1,71.42857,71.42857
